n gru grulo gruhi nc24 nc24lo nc24hi deep deeplo deephi
204 1.230499e-02 1.230499e-02 2.648431e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
206 2.068684e-02 2.068684e-02 7.579294e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
208 1.048433e-02 1.048433e-02 2.143914e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
210 1.328882e-02 1.328882e-02 3.431273e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
212 7.548412e-03 7.548412e-03 2.471701e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
214 6.582072e-03 6.582072e-03 1.920291e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
216 8.744995e-03 8.744995e-03 2.221552e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
218 8.206889e-03 8.206889e-03 3.055602e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
220 1.026481e-02 1.026481e-02 2.614831e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
222 1.041163e-02 1.041163e-02 1.987175e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
224 1.199589e-02 1.199589e-02 2.233776e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
226 8.765479e-03 8.765479e-03 1.605856e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
228 8.252124e-03 8.252124e-03 1.612316e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
230 7.782042e-03 7.782042e-03 1.678989e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
232 9.607752e-03 9.607752e-03 1.894835e-02 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08 1.000000e-08
